2024-01-22T12:00:00Z,Save the date: Global TBO Symposium (4-6 June 2024),Towards global trajectory-based operations (TBO),News article,https://transport.ec.europa.eu/news-events/events/global-tbo-symposium-2024-06-04_en
2024-01-19T12:00:00Z,European Commission workshop addresses key challenges in seafaring profession,"Decarbonisation, digitalisation, social security and wellbeing at sea were the key topics on the agenda of the workshop for the seafaring profession on 17 January.",News article,/news-events/news/european-commission-workshop-addresses-key-challenges-seafaring-profession-2024-01-19_en
2024-01-16T12:00:00Z, “Europe for Aviation” teams up for Airspace World 2024,"The “Europe for Aviation” partners, consisting of nine European aviation organisations working to promote the modernisation, sustainability, and resilience of a safe European aviation, will come together at Airspace World, from 19-21 March 2024 in Geneva, Switzerland.",News article,/news-events/news/europe-aviation-teams-airspace-world-2024-2024-01-16_en
2023-12-21T12:00:00Z,December Infringements package: key decisions,December Infringements package: key decisions,News article,https://ec.europa.eu/commission/presscorner/detail/en/inf_23_6211
2023-12-19T12:00:00Z,Provisional agreement on more sustainable and resilient trans-European transport network brings Europe closer together,TEN-T Trilogue,News article,/news-events/news/provisional-agreement-more-sustainable-and-resilient-trans-european-transport-network-brings-europe-2023-12-19_en
2023-12-18T12:00:00Z,Joint Statement on Higher Airspace Operations (HAO),"Joint Statement on Higher Airspace Operations (HAO) by the EU, the US, Canada, Japan, and the UK.",News article,/news-events/news/joint-statement-higher-airspace-operations-hao-2023-12-18_en
2023-12-15T12:00:00Z,Moldova receives additional funding to improve rail infrastructure and advance Solidarity Lanes,"The European Investment Bank has today signed a €41.2 million loan with Moldova, destined to improve internal transport connections as well as to provide long-term economic benefits to the wider region. This loan will be complemented by an EU grant of €12 million.",News article,https://ec.europa.eu/commission/presscorner/detail/en/mex_23_6643
2023-12-14T12:00:00Z,Single European Sky: Performance Review Body publishes new reports prior to fourth reference period of performance and charging scheme (RP4),The Performance Review Body (PRB) of the Single European Sky has today published three reports on air navigation service costs.,News article,/news-events/news/single-european-sky-performance-review-body-publishes-new-reports-prior-fourth-reference-period-2023-12-14_en
2023-12-14T12:00:00Z,New website of the EU Urban Mobility Observatory,New website of the EU Urban Mobility Observatory,News article,https://urban-mobility-observatory.transport.ec.europa.eu/index_en
2023-12-13T12:00:00Z,Call for applications for the selection of members of the Digital Transport and Logistics Forum (DTLF),The Commission is calling for applications with a view to selecting members for the DTLF other than Member States' authorities and other public entities.,News article,/news-events/news/call-applications-selection-members-digital-transport-and-logistics-forum-dtlf-2023-12-13_en
2023-12-12T12:00:00Z,,"Transport ministers from the Western Balkans, Georgia, Moldova, and Ukraine, as well as the European Commission, gathered at the annual Ministerial Council Meeting of the Transport Community in Skopje, North Macedonia, on 12 December 2023.",News article,
2023-12-11T12:00:00Z,Statement by Commissioner for Transport Adina Vălean on the Poland–Ukraine border,"Commissioner for Transport Adina Vălean welcomed the re-opening of Dorohusk–Yahodyn border crossing point for freight transport, the most significant border crossing point between Poland and Ukraine.",News article,https://ec.europa.eu/commission/presscorner/detail/en/statement_23_6540
2023-12-06T12:00:00Z,Open letter from European Transport Commissioner Adina Vălean on standardised weights and dimensions for hand luggage,Open letter from European Transport Commissioner Adina Vălean on standardised weights and dimensions for hand luggage,News article,/news-events/news/open-letter-european-transport-commissioner-adina-valean-standardised-weights-and-dimensions-hand-2023-12-06_en
2023-12-01T12:00:00Z,Call for experts for the Commission Expert Group on the Human Dimension of the Single European Sky (CEGHD),The Commission is calling for applications with a view to selecting members of the Expert Group on the Human Dimension of the Single European Sky.,News article,/news-events/news/call-experts-commission-expert-group-human-dimension-single-european-sky-ceghd-2023-12-01_en
2023-12-01T12:00:00Z,EU and Canada strengthen ties on maritime safety,The Commission and the Canadian Department of Transport signed a Memorandum of Cooperation that will improveinternational cooperation on maritime safety.,News article,/news-events/news/eu-and-canada-strengthen-ties-maritime-safety-2023-12-01_en
2023-11-30T12:00:00Z,Commission updates EU Air Safety List and bans Fly Baghdad from flying in the European Union ,Aviation Safety: Commission adopts new EU Air Safety List – an air carrier certified in Iraq added,News article,/news-events/news/commission-updates-eu-air-safety-list-and-bans-fly-baghdad-flying-european-union-2023-11-30_en
2023-11-29T12:00:00Z,Passenger Mobility Package,The Commission adopted a series of proposals designed to improve the experience of passengers and travellers by strengthening their rights.,News article,/news-events/news/passenger-mobility-package-2023-11-29_en
2023-11-24T12:00:00Z,Commission welcomes new UN Aviation Agency global target for sustainable aviation fuels,The Commission welcomes the agreement on a global framework for sustainable aviation fuels and other cleaner aviation energy.,News article,/news-events/news/commission-welcomes-new-un-aviation-agency-global-target-sustainable-aviation-fuels-2023-11-24_en
2023-11-16T12:00:00Z,November infringement package: key decisions,November infringement package: key decisions,News article,https://ec.europa.eu/commission/presscorner/detail/en/inf_23_5380
2023-11-07T12:00:00Z,European Commission adopts new proposal on combining transport modes for more sustainable freight,The proposal on combined transport aims to make freight transport more sustainable by improving the competitiveness of intermodal freight – the transportation of goods using two or more transport modes – vis-à-vis road-only transport.,News article,/news-events/news/european-commission-adopts-new-proposal-combining-transport-modes-more-sustainable-freight-2023-11-07_en
2023-10-26T12:00:00Z,EU signs grant agreements for transport infrastructure to better connect Moldova with EU,The Commission welcomes the signature of three grant agreements under the CEF for Transport worth almost €45 million to improve transport connections between Moldova and Romania along the TEN-T network.,News article,/news-events/news/eu-signs-grant-agreements-transport-infrastructure-better-connect-moldova-eu-2023-10-26_en
2023-10-25T12:00:00Z,,"European aviation leaders have come together in Valencia for the 12th edition of the ECAC/EU Dialogue, reaffirming their commitment to sustainable aviation.",News article,
2023-10-24T12:00:00Z,"Smarter journey planners, better access for emergency services, and more sustainable transport thanks to revised Intelligent Transport Directive adopted today",The Commission welcomes the final approval of the revised Intelligent Transport Systems (ITS) Directive.,News article,/news-events/news/smarter-journey-planners-better-access-emergency-services-and-more-sustainable-transport-thanks-2023-10-24_en
2023-10-19T12:00:00Z,Q&A – Assistance to passengers for flight disruptions caused by the conflict in Israel,Q&A,Supplementary information,/news-events/news/qa-assistance-passengers-flight-disruptions-caused-conflict-israel-2023-10-19_en
2023-10-19T12:00:00Z,Excellence in Road Safety Awards: European Commission rewards best road safety projects,"The Commission is hosting the 2023 Excellence in Road Safety Awards. The awards recognise the best contributions by the European Road Safety Charter's community of organisations, authorities and companies towards safer roads across Europe.",News article,/news-events/news/excellence-road-safety-awards-european-commission-rewards-best-road-safety-projects-2023-10-19_en
2023-10-19T12:00:00Z,"Road safety: 20,640 people died in a road crash last year – progress remains too slow","The 20,640 deaths on EU roads last year represented a 4% increase in relation to 2021, as traffic levels recovered after the pandemic.",News article,/news-events/news/road-safety-20640-people-died-road-crash-last-year-progress-remains-too-slow-2023-10-19_en
