Zeit  1 - Standardmessrate;WI 1;WI 2;WI 3;WI 4;WI 5;WI 6;WI 7;Temperatur;WI 8;DMS - innen (200 mm);DMS - auﬂen (350 mm);PMX_1 CH 3-4;PMX_1 CH 4-1;PMX_1 CH 4-2;PMX_1 CH 4-3;PMX_1 CH 4-4;PMX_1 dig in;PMX_1 dig out
0;0,00018;-0,0004;0,04826;-0,00023;0,0012;0,00423;0,02444;23,68;-0,00197;-1,007;15,71;-1000000;-1000000;-1000000;-1000000;-1000000;0;0
0,020000001;0,00018;-0,0004;0,04826;-0,00023;0,00119;0,00424;0,02444;23,69;-0,00197;-1,012;15,71;-1000000;-1000000;-1000000;-1000000;-1000000;0;0
0,040000002;0,00017;-0,0004;0,04826;-0,00023;0,00118;0,00424;0,02443;23,69;-0,00197;-1,014;15,72;-1000000;-1000000;-1000000;-1000000;-1000000;0;0
0,060000003;0,00016;-0,0004;0,04827;-0,00024;0,00116;0,00424;0,02442;23,69;-0,00197;-1,015;15,73;-1000000;-1000000;-1000000;-1000000;-1000000;0;0
0,080000004;0,00014;-0,0004;0,04826;-0,00024;0,00115;0,00423;0,02441;23,69;-0,00197;-1,017;15,74;-1000000;-1000000;-1000000;-1000000;-1000000;0;0
0,100000005;0,00014;-0,0004;0,04826;-0,00024;0,00115;0,00422;0,02441;23,69;-0,00197;-1,02;15,74;-1000000;-1000000;-1000000;-1000000;-1000000;0;0
0,120000006;0,00014;-0,0004;0,04826;-0,00023;0,00117;0,00422;0,02442;23,68;-0,00197;-1,023;15,74;-1000000;-1000000;-1000000;-1000000;-1000000;0;0
0,140000007;0,00016;-0,0004;0,04826;-0,00023;0,00118;0,00422;0,02443;23,67;-0,00197;-1,029;15,73;-1000000;-1000000;-1000000;-1000000;-1000000;0;0
0,160000008;0,00017;-0,0004;0,04826;-0,00023;0,00119;0,00423;0,02444;23,66;-0,00196;-1,036;15,72;-1000000;-1000000;-1000000;-1000000;-1000000;0;0
0,180000009;0,00016;-0,0004;0,04826;-0,00023;0,00119;0,00423;0,02443;23,66;-0,00196;-1,041;15,71;-1000000;-1000000;-1000000;-1000000;-1000000;0;0
0,200000009;0,00015;-0,0004;0,04826;-0,00023;0,00117;0,00422;0,02443;23,67;-0,00196;-1,043;15,71;-1000000;-1000000;-1000000;-1000000;-1000000;0;0
0,22000001;0,00014;-0,0004;0,04826;-0,00023;0,00116;0,00422;0,02442;23,67;-0,00196;-1,042;15,71;-1000000;-1000000;-1000000;-1000000;-1000000;0;0
0,240000011;0,00013;-0,0004;0,04826;-0,00023;0,00116;0,00422;0,02442;23,68;-0,00196;-1,04;15,72;-1000000;-1000000;-1000000;-1000000;-1000000;0;0
0,260000012;0,00013;-0,0004;0,04826;-0,00023;0,00116;0,00422;0,02442;23,68;-0,00196;-1,033;15,72;-1000000;-1000000;-1000000;-1000000;-1000000;0;0
0,280000013;0,00014;-0,0004;0,04826;-0,00023;0,00117;0,00423;0,02441;23,67;-0,00195;-1,021;15,71;-1000000;-1000000;-1000000;-1000000;-1000000;0;0
