Intersection_ID,Timestamp,Vehicle_Count,Day_of_Week,Weather_Condition,Traffic_Volume_Level
I001,1/1/2024 10:00,184,Friday,Sunny,Low
I001,1/2/2024 4:00,109,Friday,Foggy,Medium
I001,1/3/2024 6:00,59,Friday,Rainy,Low
I001,1/4/2024 6:00,225,Friday,Snowy,Medium
I001,1/4/2024 17:00,245,Friday,Cloudy,Medium
I002,1/2/2024 21:00,233,Friday,Sunny,Low
I002,1/4/2024 15:00,80,Friday,Rainy,Low
I003,1/1/2024 23:00,135,Friday,Snowy,High
I004,1/1/2024 11:00,94,Friday,Cloudy,High
I004,1/1/2024 13:00,208,Friday,Foggy,High
I004,1/4/2024 0:00,155,Friday,Cloudy,High
I004,1/4/2024 5:00,179,Friday,Foggy,Low
I005,1/1/2024 21:00,236,Friday,Rainy,Low
I005,1/3/2024 12:00,81,Friday,Cloudy,Medium
I005,1/5/2024 3:00,92,Friday,Rainy,Low
I001,1/1/2024 8:00,162,Monday,Snowy,Medium
I001,1/1/2024 22:00,130,Monday,Cloudy,Low
I001,1/2/2024 1:00,85,Monday,Foggy,High
I001,1/4/2024 23:00,160,Monday,Cloudy,Low
I002,1/1/2024 7:00,83,Monday,Snowy,Low
I002,1/2/2024 3:00,86,Monday,Sunny,High
I002,1/2/2024 6:00,134,Monday,Foggy,High
I002,1/4/2024 20:00,121,Monday,Sunny,Medium
I002,1/5/2024 0:00,180,Monday,Rainy,High
I003,1/1/2024 14:00,195,Monday,Snowy,Low
I003,1/4/2024 12:00,176,Monday,Snowy,Medium
I003,1/5/2024 6:00,124,Monday,Cloudy,Medium
I004,1/2/2024 16:00,111,Monday,Sunny,Medium
I004,1/2/2024 17:00,211,Monday,Foggy,Medium
I005,1/3/2024 3:00,145,Monday,Rainy,High
I005,1/5/2024 2:00,62,Monday,Snowy,High
I001,1/2/2024 18:00,146,Saturday,Foggy,Medium
I001,1/2/2024 23:00,72,Saturday,Sunny,High
I001,1/3/2024 7:00,103,Saturday,Rainy,Low
I001,1/3/2024 9:00,102,Saturday,Rainy,Low
I001,1/4/2024 18:00,155,Saturday,Rainy,Low
I002,1/3/2024 13:00,115,Saturday,Cloudy,High
I002,1/3/2024 23:00,80,Saturday,Foggy,Medium
I002,1/4/2024 19:00,56,Saturday,Foggy,High
I004,1/3/2024 4:00,87,Saturday,Foggy,High
I004,1/4/2024 10:00,53,Saturday,Cloudy,Medium
I004,1/4/2024 13:00,83,Saturday,Rainy,Low
I004,1/4/2024 22:00,89,Saturday,Foggy,Low
I005,1/4/2024 2:00,231,Saturday,Rainy,High
I005,1/4/2024 3:00,218,Saturday,Rainy,High
I005,1/5/2024 5:00,103,Saturday,Cloudy,Low
I005,1/5/2024 9:00,68,Saturday,Snowy,High
I001,1/1/2024 9:00,233,Sunday,Foggy,Low
I001,1/2/2024 14:00,197,Sunday,Snowy,Medium
I001,1/3/2024 8:00,182,Sunday,Sunny,Low
I001,1/3/2024 14:00,138,Sunday,Rainy,High
